id,lat,lon,alt,name,tz,search_name
SBLE,-12.48,-41.28,511.0,Chapada Diamantina Airport,America/Fortaleza,Chapada Diamantina Airport
SBST,-23.93,-46.3,1.0,Santos Aeroporto,America/Sao_Paulo,Santos
SBPB,-2.92,-41.75,4.0,Parnaiba Aeroporto,America/Fortaleza,Parnaíba
SBPL,-9.35,-40.55,360.0,Petrolina,America/Fortaleza,Petrolina
SBCX,-29.19706,-51.18754000000001,733.0,CAXIAS DO SUL,America/Sao_Paulo,CAXIAS DO SUL
SBNF,-26.88,-48.65,5.0,Ministro Victor Konder International Airport,America/Sao_Paulo,Ministro Victor Konder International Airport
SBSM,-29.72,-53.7,156.0,Santa Maria Aero-Porto,America/Sao_Paulo,Santa Maria
SBBG,-31.35,-54.12,234.0,Bage Aeroporto,America/Sao_Paulo,Bage Aeroporto
SBML,-22.2,-49.93,647.0,Marília Airport,America/Sao_Paulo,Marília Airport
SBUA,-0.13,-67.08,73.0,Sao Gabriel Da Cachoeira,America/Manaus,São Gabriel da Cachoeira
SBPK,-31.78333,-52.41667,1.0,Pelotas,America/Sao_Paulo,Pelotas
SBIC,-3.13,-58.48,43.0,Itacoatiara Airport,America/Manaus,Itacoatiara Airport
SBHT,-3.2,-52.2,29.0,Altamira,America/Fortaleza,Altamira
SBBU,-22.32,-49.07,536.0,Bauru,America/Sao_Paulo,Bauru
SBCI,-7.32,-47.47,120.0,Maranhao / Carolina Airport,America/Fortaleza,Maranhao / Carolina Airport
SBJV,-26.22,-48.8,5.0,Lauro Carneiro de Loyola Airport,America/Sao_Paulo,Lauro Carneiro de Loyola Airport
SBMS,-5.2,-37.37,46.0,Mocoro / 17 Rosado,America/Fortaleza,Mocoro / 17 Rosado
SBGW,-22.78,-45.2,483.0,Guaratingueta,America/Sao_Paulo,Guaratingueta
SBFN,-3.85,-32.42,1.0,Fernando De Noronha,America/Noronha,Fernando De Noronha
SBSR,-20.82,-49.41,544.0,São José do Rio Preto Airport,America/Sao_Paulo,São José do Rio Preto Airport
SBAA,-8.25,-49.28,117.0,Conceicao Do Araguaia,America/Fortaleza,Conceicao Do Araguaia
SBCZ,-7.59991,-72.76949,188.0,Cruzeiro Do Sul,America/Eirunepe,Cruzeiro do Sul
SBIZ,-5.53,-47.5,80.0,Imperatriz,America/Fortaleza,Imperatriz
SBNM,-28.28,-54.17,322.0,Santo Ângelo Airport,America/Sao_Paulo,Santo Ângelo Airport
SBUR,-19.78,-47.97,713.0,Uberaba,America/Sao_Paulo,Uberaba
