id,lat,lon,alt,name,tz,utc_offset
KGSO,36.1,-79.94,271.0,"Greensboro, Piedmont Triad International Airport",America/New_York,UTC-5
KTTN,40.28,-74.82,61.0,"Trenton, Mercer County Airport",America/New_York,UTC-5
KPIA,40.67,-89.68,198.0,"Peoria, Greater Peoria Regional Airport",America/Chicago,UTC-6
KTLH,30.39,-84.35,14.0,"Tallahassee, Tallahassee Regional Airport",America/New_York,UTC-5
KORD,41.98,-87.9,202.0,"Chicago, Chicago-O'Hare International Airport",America/Chicago,UTC-6
KPWK,42.12,-87.9,194.0,"Chicago / Wheeling, Pal-Waukee Airport",America/Chicago,UTC-6
KTME,29.81,-95.9,51.0,Houston Executive Airport,America/Chicago,UTC-6
KBDL,41.94,-72.68,45.0,"Windsor Locks, Bradley International Airport",America/New_York,UTC-5
KHFD,41.74,-72.65,13.0,"Hartford, Hartford-Brainard Airport",America/New_York,UTC-5
KMHT,42.93,-71.44,68.0,"Manchester, Manchester Airport",America/New_York,UTC-5
KPIE,27.91,-82.69,2.0,"St. Petersburg / Clearwater, St. Petersburg / Clearwater Int",America/New_York,UTC-5
KSPG,27.77,-82.63,1.0,"St. Petersburg, Whitted Airport",America/New_York,UTC-5
KCHS,32.9,-80.04,9.0,"Charleston, Charleston Air Force Base",America/New_York,UTC-5
KLRO,32.9,-79.78,4.0,Mt Pleasant Regional-Faison field,America/New_York,UTC-5
KJZI,32.7,-80.0,5.0,Charleston Executive Airport,America/New_York,UTC-5
KLIT,34.73,-92.24,83.0,"Little Rock, Adams Field",America/Chicago,UTC-6
KLRF,34.92,-92.15,108.0,Little Rock Air Force Base,America/Chicago,UTC-6
KBMG,39.14,-86.62,268.0,"Bloomington, Monroe County Airport",America/New_York,UTC-5
KAPF,26.15,-81.77,3.0,"Naples, Naples Municipal Airport",America/New_York,UTC-5
KMKY,26.0,-81.67,2.0,Marco Island Airport,America/New_York,UTC-5
KMMK,41.51,-72.83,32.0,"Meriden, Meriden Markham Municipal Airport",America/New_York,UTC-5
KLBB,33.67,-101.82,990.0,"Lubbock, Lubbock International Airport",America/Chicago,UTC-6
KCON,43.2,-71.5,91.0,"Concord, Concord Municipal Airport",America/New_York,UTC-5
PAED,61.25,-149.79,57.0,"Anchorage, Elmendorf Air Force Base",America/Anchorage,UTC-9
PAFR,61.27,-149.65,121.0,"Ft. Richardson / Bryant U. S. Army Heliport, Ak",America/Anchorage,UTC-9
PALH,61.18,-149.97,23.0,"Anchorage, Lake Hood Seaplane Base",America/Anchorage,UTC-9
PAMR,61.22,-149.85,31.0,"Anchorage, Merrill Field Airport",America/Anchorage,UTC-9
PANC,61.17,-150.0,38.0,"Anchorage, Ted Stevens Anchorage International Airport",America/Anchorage,UTC-9
KCXY,40.22,-76.85,92.0,"Harrisburg, Capital City Airport",America/New_York,UTC-5
KMDT,40.19,-76.76,91.0,"Harrisburg, Harrisburg International Airport",America/New_York,UTC-5
KCHA,35.03,-85.2,213.0,"Chattanooga, Lovell Field",America/New_York,UTC-5
KSYR,43.11,-76.1,122.0,"Syracuse, Syracuse Hancock International Airport",America/New_York,UTC-5
KPAE,47.92,-122.28,161.0,"Everett, Snohomish County Airport",America/Los_Angeles,UTC-8
KBTV,44.47,-73.15,94.0,"Burlington, Burlington International Airport",America/New_York,UTC-5
KISM,28.29,-81.44,22.0,"Orlando, Kissimmee Municipal Airport",America/New_York,UTC-5
KMUI,40.43,-76.57,152.0,Muir Army Air Field / Indiantown,America/New_York,UTC-5
KFMY,26.58,-81.86,2.0,"Fort Myers, Page Field",America/New_York,UTC-5
KRSW,26.53,-81.77,5.0,"Fort Myers, Southwest Florida International Airport",America/New_York,UTC-5
KBFL,35.43,-119.06,147.0,"Bakersfield, Meadows Field Airport",America/Los_Angeles,UTC-8
KSMD,41.14,-85.15,255.0,Smith Field,America/New_York,UTC-5
KFWA,40.98,-85.2,238.0,"Fort Wayne, Fort Wayne International Airport",America/New_York,UTC-5
KLAN,42.78,-84.58,258.0,"Lansing, Capital City Airport",America/New_York,UTC-5
KAHN,33.95,-83.33,243.0,"Athens, Athens Airport",America/New_York,UTC-5
KSUA,27.18,-80.22,4.0,"Stuart, Witham Field Airport",America/New_York,UTC-5
KAPA,39.56,-104.85,1770.0,"Denver, Centennial Airport",America/Denver,UTC-7
KAGS,33.36,-81.96,38.0,"Augusta, Bush Field",America/New_York,UTC-5
KDNL,33.47,-82.04,127.0,"Augusta, Daniel Field",America/New_York,UTC-5
KOJC,38.85,-94.74,314.0,"Olathe, Johnson County Executive Airport",America/Chicago,UTC-6
KLZU,33.98,-83.96,317.0,"Lawrenceville, Gwinnett County-Briscoe Field Airport",America/New_York,UTC-5
KDLH,46.84,-92.23,443.0,"Duluth, Duluth International Airport",America/Chicago,UTC-6
KDYT,46.72,-92.04,183.0,"Duluth, Sky Harbor Airport",America/Chicago,UTC-6
KSUW,46.69,-92.09,204.0,"Superior, Richard I. Bong Airport",America/Chicago,UTC-6
KLVN,44.63,-93.23,293.0,"Minneapolis, Airlake Airport",America/Chicago,UTC-6
KPBI,26.68,-80.1,6.0,"West Palm Beach, Palm Beach International Airport",America/New_York,UTC-5
KLNA,26.59,-80.09,4.0,Palm Beach County Park Airport,America/New_York,UTC-5
KEZF,38.27,-77.45,15.0,"Fredericksburg, Shannon Airport",America/New_York,UTC-5
KRMN,38.4,-77.46,44.0,"Stafford, Stafford Regional Airport",America/New_York,UTC-5
KCPK,36.67,-76.32,5.0,"Chesapeake, Chesapeake Municipal Airport",America/New_York,UTC-5
KNGU,36.93,-76.3,3.0,"Norfolk, Naval Air Station",America/New_York,UTC-5
KPVG,36.78,-76.45,7.0,Hampton Roads Executive Airport,America/New_York,UTC-5
KCOF,28.23,-80.6,3.0,Cocoa / Patrick Air Force Base,America/New_York,UTC-5
