id,lat,lon,alt,name,tz,search_name,random_group
SBSP,-23.62,-46.65,667.0,Sao Paulo/Congonhas Aeroporto,America/Sao_Paulo,Sao Paulo/Congonhas Aeroporto,5
SBAF,-22.87,-43.37,119.0,Afonsos Aeroporto,America/Sao_Paulo,Afonsos Aeroporto,5
SBGL,-22.82,-43.25,1.0,Galeao,America/Sao_Paulo,Galeao,5
SBJR,-22.98,-43.37,9.0,Rio / Jacarepagua,America/Sao_Paulo,Rio / Jacarepagua,5
SBRJ,-22.9,-43.17,3.0,Rio De Janeiro Aeroporto,America/Sao_Paulo,Rio De Janeiro Aeroporto,5
SBBH,-19.85,-43.95,851.0,Belo Horizonte Aeroporto,America/Sao_Paulo,Belo Horizonte Aeroporto,5
SBCF,-19.93,-43.93,929.0,Belo Horizonte,America/Sao_Paulo,Belo Horizonte,5
SBPR,-19.91,-43.99,928.0,Carlos Prates Airport,America/Sao_Paulo,Carlos Prates Airport,5
SBBI,-25.43,-49.27,913.0,Curitiba,America/Sao_Paulo,Curitiba,5
SBCT,-25.52,-49.17,914.0,Curitiba Aeroporto,America/Sao_Paulo,Curitiba Aeroporto,5
SBKP,-23.0,-47.13,645.0,Campinas Aeroporto,America/Sao_Paulo,Campinas Aeroporto,5
SBFZ,-3.78,-38.53,20.0,Fortaleza / pinto Martins,America/Fortaleza,Fortaleza / pinto Martins,5
SBCO,-30.02,-51.22,1.0,Porto Alegre,America/Sao_Paulo,Porto Alegre,5
SBPA,-30.0,-51.18,34.0,Porto Alegre Aero-Porto,America/Sao_Paulo,Porto Alegre Aero-Porto,5
SBGO,-16.63,-49.22,747.0,Goiania Aeroporto,America/Sao_Paulo,Goiania Aeroporto,5
SBRF,-8.07,-34.85,19.0,Recife Aeroporto,America/Recife,Recife Aeroporto,5
SBEG,-3.03,-60.05,49.0,Eduardo Gomes International,America/Manaus,Eduardo Gomes International,5
SBMN,-3.15,-59.98,34.0,Manaus Aeroporto,America/Manaus,Manaus Aeroporto,5
SBGR,-23.43,-46.47,808.0,Guarulhos Civ / Mil,America/Sao_Paulo,Guarulhos Civ / Mil,5
SBBE,-1.38,-48.48,2.0,Belem Aeroporto,America/Fortaleza,Belem Aeroporto,5
